jd_sentence_text	jd_sent_manual_label_NEW
Experience working in an Agile/Scrum	Experience
Experience with source control and automated build systems	Experience
Bachelor's degree in Computer Science or a relevant Engineering field.	Education
Experience with SQL Server or Oracle	Experience
Experience with testing .Net applications	Experience
Experience with testing UI/Web Applications	Experience
"Experience using automation products (Clearcase, ClearQuest, RequisitePro, Robot Framework) is a plus"	Experience
"UL is seeking a Data Engineer to join the iON Compliance team in Chicago, IL."	Position_Role
We are looking for data engineers with expertise and passion for building large analytical platforms systems.	Position_Role
"Experience with data lakes, MS SQL, Data Bricks"	Experience
"Architect/design data management processes and capabilities (e.g governance, archiving, metadata, master data mgmt., data modeling, data quality)"	Responsibility
Experience & Education Requirements:	Experience
"Bachelor’s Degree in Computer Science, Engineering, Mathematics, Statistics or related field"	Education
"Boston-based but globally-minded, we celebrate the power of travel to inform, educate, and empower people."	About_Company
"Over the past two years, we have built the world’s largest online marketplace for in-destination experiences (tours, activities, attractions), the third largest ($150B+) and fastest growing segment of the travel industry."	About_Company
"We not only operate PlacePass.com, but also extend our platform to the world's largest travel companies, including Marriott and Hertz."	About_Company
Experience working with Geo Data	Experience
"Health, dental, and vision insurance"	Benefits
401k	Benefits
Unlimited vacation policy	Benefits
Free onsite gym access	Benefits
Catered weekly lunches	Benefits
Applied Memetics LLC is seeking a Software Test Engineer Mid - Senior Level to provide support on the Census 2020 program.	Position_Role
US citizenship or	Authorization_Clearance
US Green Card holders are required for this role.	Authorization_Clearance
Experience developing test scripts in testing tools	Experience
Experience with Configuration Management principles and tools required	Experience
"Experience with defect reporting (defect logging, tracking, analysis, and validation)"	Experience
"Seeking six (6) years of experience performing software development activities, with a Bachelor of Science degree in a technical discipline, or four (4) years of experience with a Master’s degree"	Or_Edu_Exp
"Experienced in testing of .NET Application stack, Web Services (JSON/REST API) using"	Experience
Bachelor’s Degree with 4+ years of SQA experience –	Or_Edu_Exp
Technology or relevant software focused degree is preferred	Education
"Experience in conducting Functional, Regression, Performance testing for Web / Windows /"	Experience
Experience with Testing tools for Stress Testing	Experience
Life Cycle / Agile Scrum Methodology	Skill_Knowledge
401K with employer matching	Benefits
"Health, Dental, Vision and Life insurance options"	Benefits
PTO & Sick Leave	Benefits
"consideration without regard to race, sex, color, national origin, age, disability, veteran status, genetic data,"	EOE
"gender identity, sexual orientation, religion or other legally protected status, or any other classification"	EOE
